Rank,Contractor,TotalCost,NumProjects,AvgDelay,TotalSavings,ReliabilityIndex,RiskFlag
108,AZUL BUILDERS / JB CONSTRUCTION AND SUPPLY INC. (FORMERLY:JB CONSTRUCTION AND SUPPLY),751727386.22,8,216.12,3895.21,0.00,High Risk
109,A.C. RIVERO DEVELOPMENT CORPORATION,751507336.24,15,270.93,48990.45,0.00,High Risk
110,RAPID FOREMOST CONST. CO.,750294985.59,12,323.33,-455.53,0.00,High Risk
111,"729 CONSTRUCTION, INC. (FORMERLY 722 CONSTRUCTION, INC.)",744283011.81,17,331.76,18519992.13,0.00,High Risk
112,EZJONES CONSTRUCTION INC. / MWJ CONSTRUCTION,741208577.47,8,312.00,1341925.33,0.00,High Risk
113,J. SIMEON CONSTRUCTION,739750095.64,14,280.29,9902331.14,0.00,High Risk
114,EZJONES CONSTRUCTION INC.,739655476.89,9,311.44,257151434.55,0.00,High Risk
115,COLLERA CONSTRUCTION,737312523.81,8,282.75,1658285.34,0.00,High Risk
116,LE BRON CONSTRUCTION,736233631.61,12,286.75,7949101.74,0.00,High Risk
117,QUIRANTE CONSTRUCTION CORPORATION (FORMERLY: QUIRANTE CONSTRUCTION) / ZLREJ TRADING AND CONSTRUCTION CORPORATION,728475000.00,8,246.38,100000.00,0.00,High Risk
118,ALMAKAR BUILDERS & METAL WORKS,728387051.73,14,322.93,44715614.84,0.00,High Risk
119,VILLAR GENERAL CONSTRUCTION AND SUPPLIES,708574515.56,23,329.57,8825368.90,0.00,High Risk
120,ANORE CONSTRUCTION,707409801.42,9,309.22,182542831.98,0.00,High Risk
121,CS CONST. AND SUPPLY INC. (FORMERLY: CS CONSTRUCTION AND SUPPLY),702530815.78,13,270.31,2150404.20,0.00,High Risk
122,A. DE GUIA CONSTRUCTION AND DEVELOPMENT CORPORATION (FORMERLY: A. DE GUIA CONSTRUCTION),684139655.75,9,204.89,3779697.06,0.00,High Risk
123,MUNTOPAR BUILDERS CORP.,681908697.98,13,241.31,104194753.69,0.00,High Risk
124,"VICMAR CONSTRUCTION, INC.",679485820.00,15,237.40,942260.00,0.00,High Risk
125,M.S. RAMOS CONSTRUCTION INC. (FORMERLY: M.S. RAMOS,674434765.65,10,249.40,49678.76,0.00,High Risk
126,"THREE W BUILDERS, INC.",668929612.76,10,294.60,8026384.26,0.00,High Risk
127,"R.A. PAHATI CONST. & SUPPLY, INC.",668161413.41,12,245.83,2166654.07,0.00,High Risk
128,M.C.J. VALENZUELA CONSTRUCTION ENTERPRISES,659394990.88,22,173.45,2672276.58,0.00,High Risk
129,GP & H CONSTRUCTION INCORPORATED (FORMERLY: GP & H CONSTRUCTION & SUPPLY),654924148.24,9,295.11,25497.64,0.00,High Risk
130,EIRISH BUILDERS & SUPPLY INC.,651318618.21,11,219.91,20296533.39,0.00,High Risk
131,JMT CONSTRUCTION,650925120.36,12,291.92,2360014.64,0.00,High Risk
132,LLABAN CONSTRUCTION & SUPPLY (FORMERLY: LLABAN CON,650598061.91,15,239.13,2961165.44,0.00,High Risk
133,"RUDHIL CONSTRUCTION & ENTERPRISES, INC.(FORMERLY R",648104924.34,12,339.67,960396.03,0.00,High Risk
134,MEGAY CONSTRUCTION INC. (FORMERLY: MEGAY CONSTRUCTION),643354213.85,13,358.31,1515432.93,0.00,High Risk
135,JFR CONSTRUCTION INC. (FORMERLY:JFR CONSTRUCTION),635762112.73,14,322.64,3377368.12,0.00,High Risk
136,FFJJ CONSTRUCTION,624901668.86,7,349.57,5212647.96,0.00,High Risk
137,RICHMAR CONSTRUCTION,622765889.47,10,211.90,125346610.53,0.00,High Risk
138,WAYCON BUILDERS AND CONSTRUCTION SUPPLY CORP. (FOR:WAYCON BUILDERS & CONSTRUCTION SUPPLY),616261020.00,10,281.50,-58.38,0.00,High Risk
139,W.J.P. CONSTRUCTION AND SUPPLY,613905271.71,15,118.47,3494728.29,0.00,High Risk
140,FIRST NORTHWAY DEVELOPMENT & CONSTRUCTION CORP.,607789793.02,29,403.59,13484207.05,0.00,High Risk
141,I&E CONSTRUCTION CORPORATION (FORMERLY: I&E CONSTR,605794797.78,11,219.55,7099894.77,0.00,High Risk
142,ABU CONSTRUCTION,597764268.43,9,322.89,237724678.71,0.00,High Risk
143,JARGON CONSTRUCTION & SUPPLY,594469894.78,11,331.82,3583385.73,0.00,High Risk
144,PARTIDO CONSTRUCTION & SUPPLY,592368727.09,8,290.00,19016799.71,0.00,High Risk
145,R.D. TALENS CONSTRUCTION AND TRADING,586685534.24,10,243.10,11221836.86,0.00,High Risk
146,TJMT CONSTRUCTION,585888620.45,13,323.69,451379.55,0.00,High Risk
147,G.F. FABIAN CONSTRUCTION,583088282.74,10,332.10,3680841.96,0.00,High Risk
148,AMP 723 CONSTRUCTION CORPORATION (FORMERLY: A.M.P. CONSTRUCTION) / KEVIN PAUL CONSTRUCTION,583014743.17,6,236.67,70056.83,0.00,High Risk
149,LUMEL GLENN CONSTRUCTION,578579955.44,12,245.25,11217399.54,0.00,High Risk
150,OMNICON BUILDERS,578228392.22,12,248.25,9926293.76,0.00,High Risk
151,"GEMMA CONSTRUCTION SUPPLY, INC.(FORMERLY:GEMMA CON",577500271.78,6,284.33,1473385.65,0.00,High Risk
152,CDU CONSTRUCTION,569802815.37,14,305.29,3004407.22,0.00,High Risk
153,"GONZALODO ENTERPRISES / RUDHIL CONSTRUCTION & ENTERPRISES, INC.(FORMERLY R",567716395.84,7,236.00,95394.16,0.00,High Risk
154,RRC CO. INC. (FORMERLY: R R C CONSTRUCTION),566114074.24,9,236.44,1601108.63,0.00,High Risk
155,JCM AMEG BUILDERS CORPORATION (FORMERLY: AMEG CONSTRUCTION & SUPPLY),554860948.22,6,128.17,2453.04,0.00,High Risk
156,BRG CONSTRUCTION,553969760.82,9,247.67,205239.18,0.00,High Risk
157,NEXT GENERATION CONSTRUCTION AND SUPPLY CORPORATION,546379698.49,9,158.22,257725.18,0.00,High Risk
158,"DREIRICH BUILDERS / THREE W BUILDERS, INC.",542829646.15,7,376.14,3145318.38,0.00,High Risk
159,11 DIAMOND EAGLE CONSTRUCTION CORPORATION (FORMERLY:11 DIAMOND EAGLE CONSTRUCTION),541632818.55,10,277.80,1017181.45,0.00,High Risk
160,"SANRHO BUILDERS, INC.(FOR. SANRHO CONST. AND SUPPL",539820000.00,7,225.86,41649557.13,0.00,High Risk
161,E.R. RODRIGUEZ CONSTRUCTION CORPORATION (FORMERLY: E.R. RODRIGUEZ CONSTRUCTION),537854073.19,9,358.33,9044803.71,0.00,High Risk
162,PASCAL CONSTRUCTION,531094837.15,13,244.08,8613007.67,0.00,High Risk
163,"FAIRCHILD BUILDERS & DEVELOPERS, INC.",523258660.55,9,284.89,3253509.48,0.00,High Risk
164,ROLCO CONSTRUCTION & DEVELOPMENT CORPORATION ( FOR,521896890.29,11,252.73,35337104.23,0.00,High Risk
165,AZUL BUILDERS,519162024.06,9,253.78,4625207.06,0.00,High Risk
